date,ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PR013
2013-01-01,EWZ US Equity,,,,,
2013-01-02,EWZ US Equity,45.2353,45.4988,45.1076,45.4748,14852924
2013-01-03,EWZ US Equity,45.2752,46.0576,45.1634,45.7636,16609474
2013-01-04,EWZ US Equity,45.4668,45.7383,45.3471,45.6505,11774152
2013-01-07,EWZ US Equity,45.4429,45.5067,45.1315,45.3913,9654504
2013-01-08,EWZ US Equity,45.0756,45.0836,44.6285,44.7882,10724042
2013-01-09,EWZ US Equity,45.0038,45.2513,44.8361,45.0597,10407365
2013-01-10,EWZ US Equity,45.363,45.5067,44.892,45.4908,11637983
2013-01-11,EWZ US Equity,45.1155,45.1315,44.7643,45.0357,10946436
2013-01-14,EWZ US Equity,45.4189,45.5626,45.1155,45.2513,9612619
2013-01-15,EWZ US Equity,45.0197,45.1634,44.876,45.1076,6249956
2013-01-16,EWZ US Equity,44.6605,45.0197,44.6126,44.9718,6353181
2013-01-17,EWZ US Equity,45.4109,45.5507,45.3072,45.387,10297751
2013-01-18,EWZ US Equity,45.1794,45.4109,45.1475,45.379,10856058
2013-01-21,EWZ US Equity,,,,,
2013-01-22,EWZ US Equity,45.0916,45.371,44.5753,45.363,8792147
2013-01-23,EWZ US Equity,45.4349,45.4908,45.1874,45.379,10626648
2013-01-24,EWZ US Equity,45.5147,45.8101,44.9559,45.2672,11655742
2013-01-25,EWZ US Equity,45.2672,45.7063,45.0676,45.3231,7035776
2013-01-28,EWZ US Equity,45.5067,45.5067,44.8521,45.1954,10092637
2013-01-29,EWZ US Equity,45.4668,45.7463,45.1874,45.6664,9879851
2013-01-30,EWZ US Equity,45.0118,45.3151,44.7882,45.1634,19704073
2013-01-31,EWZ US Equity,45.1235,45.4509,44.884,45.3231,15402671
2013-02-01,EWZ US Equity,45.7463,45.7542,45.5067,45.5706,8669988
2013-02-04,EWZ US Equity,45.1076,45.1395,44.7882,44.9479,10578873
2013-02-05,EWZ US Equity,45.3471,45.379,44.7882,44.8042,12801513
2013-02-06,EWZ US Equity,44.6605,44.8122,44.4369,44.7962,13626863
2013-02-07,EWZ US Equity,45.2513,45.3311,44.389,44.6924,13416092
2013-02-08,EWZ US Equity,44.7802,44.8441,44.4369,44.6605,7287330
2013-02-11,EWZ US Equity,44.7802,44.7882,44.3252,44.5727,6629650
2013-02-12,EWZ US Equity,44.5806,44.8521,44.3571,44.6285,4541833
2013-02-13,EWZ US Equity,44.884,45.1395,44.8281,45.0357,14653396
2013-02-14,EWZ US Equity,44.7004,44.9239,44.6046,44.8281,8545228
2013-02-15,EWZ US Equity,44.9239,45.0437,44.7004,44.8441,12964233
2013-02-18,EWZ US Equity,,,,,
2013-02-19,EWZ US Equity,45.1395,45.2273,44.8441,44.9639,9158182
2013-02-20,EWZ US Equity,44.884,44.9319,43.91,43.9819,15102572
2013-02-21,EWZ US Equity,43.8142,43.8142,43.1037,43.3112,28635104
2013-02-22,EWZ US Equity,43.8142,43.8222,43.431,43.7663,15373455
2013-02-25,EWZ US Equity,43.894,44.0457,43.1436,43.2713,15591571
2013-02-26,EWZ US Equity,43.375,43.7344,42.8961,43.6386,13193567
2013-02-27,EWZ US Equity,43.431,43.9978,43.3951,43.934,9823998
2013-02-28,EWZ US Equity,44.0138,44.3411,43.934,44.0138,9890933
2013-03-01,EWZ US Equity,43.6066,44.0936,43.4949,44.0697,10155125
2013-03-04,EWZ US Equity,43.6705,43.926,43.423,43.7344,12680153
2013-03-05,EWZ US Equity,44.1415,44.5088,43.8102,43.9899,15203123
2013-03-06,EWZ US Equity,44.4449,45.2632,44.3331,45.0597,16088893
2013-03-07,EWZ US Equity,45.5067,46.1135,45.4668,45.7383,24135613
2013-03-08,EWZ US Equity,45.7383,46.1055,45.5946,46.0257,15017021
2013-03-11,EWZ US Equity,45.7542,45.866,45.395,45.7143,11518224
2013-03-12,EWZ US Equity,45.866,45.9898,45.3471,45.5387,8164595
2013-03-13,EWZ US Equity,45.5467,45.5866,44.7842,44.9399,13830620
2013-03-14,EWZ US Equity,44.9559,45.1475,44.4609,44.7243,11587730
2013-03-15,EWZ US Equity,44.908,44.9639,44.429,44.4928,14692932
2013-03-18,EWZ US Equity,43.926,44.4848,43.8541,44.1655,9539655
2013-03-19,EWZ US Equity,44.3252,44.405,43.6306,43.9579,16775399
2013-03-20,EWZ US Equity,43.9579,44.0178,43.6306,43.7024,9797173
2013-03-21,EWZ US Equity,43.4786,43.5587,42.92,42.9919,13523693
2013-03-22,EWZ US Equity,42.9999,43.0877,42.6885,42.8721,11039577
2013-03-25,EWZ US Equity,42.7604,43.1356,42.445,42.6247,15891770
